Game Version,Name,Name_PWHL,PlayerID,Image,Team,Logo,Number,Position,Height,Weight,Age,Shoots,Player Type,Potential,Line Position,Overall,Deking,Hand-Eye,Passing,Puck Control,Def. Awareness,Faceoffs,Shot Blocking,Stick Checking,Discipline,Off. Awareness,Poise,Acceleration,Agility,Balance,Endurance,Speed,Slap Shot Accuracy,Slap Shot Power,Wrist Shot Accuracy,Wrist Shot Power,Aggressiveness,Body Checking,Durability,Fighting Skill,Strength
NHL 22,Jocelyne Larocque,Jocelyne Larocque,71,https://assets.leaguestat.com/pwhl/240x240/71.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,3,LD,"5'6""",146 Lbs,33,Left,Defensive Defenseman,ELITE,1LD,89,84,87,92,89,92,57,87,91,89,90,92,90,89,90,95,87,90,78,90,79,91,92,93,50,86
NHL 22,Jaime Bourbonnais,Jaime Bourbonnais,87,https://assets.leaguestat.com/pwhl/240x240/87.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,25,RD,"5'7""",126 Lbs,22,Right,Defensive Defenseman,T4D,SRD,86,83,87,89,86,91,51,91,89,90,84,87,91,85,90,92,87,84,77,85,78,84,88,90,50,87
NHL 22,Erin Ambrose,Erin Ambrose,83,https://assets.leaguestat.com/pwhl/240x240/83.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,23,RD,"5'5""",132 Lbs,27,Right,Offensive Defenseman,ELITE,1RD,89,86,89,91,87,92,57,88,91,90,91,92,90,91,90,93,89,87,79,87,78,91,88,93,50,87
NHL 22,Renata Fast,Renata Fast,67,https://assets.leaguestat.com/pwhl/240x240/67.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,14,RD,"5'6""",143 Lbs,30,Right,Offensive Defenseman,ELITE,2RD,88,83,90,92,89,91,58,87,90,85,90,91,90,91,87,93,91,88,79,87,77,89,89,89,50,85
NHL 22,Ashton Bell,Ashton Bell,50,https://assets.leaguestat.com/pwhl/240x240/50.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,21,RD,"5'8""",141 Lbs,21,Right,2 Way Defender,ELITE,3RD,87,84,89,90,88,90,56,90,91,92,89,87,89,90,89,86,89,89,78,88,79,86,88,88,50,85
NHL 22,Claire Thompson,Claire Thompson,169,https://assets.leaguestat.com/pwhl/240x240/169.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,42,LD,"5'8""",132 Lbs,23,Left,2 Way Defender,ELITE,3LD,86,84,87,92,86,89,55,90,88,91,90,89,85,86,89,92,90,87,78,85,78,87,86,85,50,90
NHL 22,Ella Shelton,Ella Shelton,44,https://assets.leaguestat.com/pwhl/240x240/44.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,17,LD,"5'8""",150 Lbs,23,Left,2 Way Defender,T4D,2LD,86,83,89,87,87,90,56,88,90,89,89,84,88,89,89,90,89,87,79,89,79,86,85,85,50,87
NHL 22,Blayre Turnbull,Blayre Turnbull,76,https://assets.leaguestat.com/pwhl/240x240/76.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,40,C,"5'7""",162 Lbs,28,Right,2 Way Forward,T6F,4C,86,87,88,86,88,89,88,87,82,85,89,90,89,90,89,86,91,88,83,87,83,89,91,89,50,87
NHL 22,Laura Stacey,Laura Stacey,32,https://assets.leaguestat.com/pwhl/240x240/32.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,7,RW,"5'10""",157 Lbs,27,Right,2 Way Forward,T6F,4RW,86,85,90,88,85,92,70,89,86,85,87,90,87,85,87,91,91,90,79,89,78,89,89,86,50,87
NHL 22,Kristin O'Neill,Kristin O'Neill,30,https://assets.leaguestat.com/pwhl/240x240/30.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,43,LW/C,"5'5""",125 Lbs,23,Left,Grinder,ELITE,SLW,82,84,86,86,85,86,87,84,86,90,85,88,87,86,88,84,90,89,79,85,77,89,90,88,50,85
NHL 22,Jamie-Lee Rattray,Jamie Lee Rattray,16,https://assets.leaguestat.com/pwhl/240x240/16.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,47,LW/C,"5'6""",172 Lbs,28,Left,Sniper,ELITE,SLW,87,91,92,85,92,89,85,88,88,91,90,89,91,90,89,85,90,91,80,91,80,87,91,92,50,89
NHL 22,Victoria Bach,Victoria Bach,125,https://assets.leaguestat.com/pwhl/240x240/125.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,51,C,"5'5""",123 Lbs,25,Left,2 Way Forward,ELITE,SC,84,85,89,90,86,86,84,85,86,91,90,87,87,86,88,91,90,87,77,89,78,84,89,88,50,85
NHL 22,Julia Gosling,Julia Gosling,210,https://assets.leaguestat.com/pwhl/240x240/210.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,88,LW/C,"5'10""",162 Lbs,20,Left,2 Way Forward,ELITE,SC,83,84,88,86,90,89,72,84,85,90,86,89,87,85,85,84,89,86,77,87,77,84,87,92,50,84
NHL 22,Alena Mills,Alena Mills,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,9,LW/C,"5'8""",176 Lbs,31,Left,Power Forward,ELITE,3RW,86,87,89,89,90,87,93,87,88,86,87,90,88,90,91,89,90,91,82,90,81,90,90,89,50,90
NHL 22,Tereza Vanisova,Tereza Vanišová,161,https://assets.leaguestat.com/pwhl/240x240/161.jpg,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,21,LW/C,"5'7""",141 Lbs,26,Left,Sniper,T6F,1LW,79,88,86,84,86,82,87,76,80,73,83,87,88,87,87,83,85,83,78,83,78,89,86,84,50,83
NHL 22,Natalie Mlynkova,Natalie Mlynkova,274,https://assets.leaguestat.com/pwhl/240x240/274.jpg,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,19,LW/C,"5'6""",139 Lbs,20,Left,Sniper,T6F,2LW,74,85,84,81,83,79,70,75,77,86,82,83,83,85,84,82,84,81,76,82,76,86,80,85,50,76
NHL 22,Katerina Mrazova,Katerina Mrazova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,16,C,"5'6""",141 Lbs,28,Left,Playmaker,T6F,2C,81,86,87,88,86,84,85,83,82,84,84,85,88,87,87,89,86,83,79,85,79,85,86,85,50,86
NHL 22,Noemi Neubauerova,Noemi Neubauerova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,28,RW/C,"5'8""",152 Lbs,21,Right,2 Way Forward,T6F,2RW,81,86,88,86,89,83,75,81,85,85,86,89,87,87,87,88,86,78,77,83,79,88,84,87,50,86
NHL 22,Klara Hymlarova,Klara Hymlarova,190,https://assets.leaguestat.com/pwhl/240x240/190.jpg,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,12,LW/C,"5'6""",148 Lbs,22,Left,2 Way Forward,T9F,3C,75,84,83,84,81,78,75,80,83,85,79,82,86,86,84,85,86,82,78,76,75,88,83,85,50,84
NHL 22,Michaela Pejzlova,Michaela Pejzlova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,18,C,"5'7""",146 Lbs,24,Left,2 Way Forward,T9F,1C,73,78,79,84,82,81,71,78,79,84,79,83,82,84,85,81,80,76,75,78,73,80,81,85,50,82
NHL 22,Katerina Bukolska,Katerina Bukolska,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,23,LW/C,"5'7""",154 Lbs,24,Left,2 Way Forward,B6F,3LW,70,76,78,73,79,78,70,77,77,85,77,79,83,82,86,76,80,78,75,73,75,78,83,83,50,81
NHL 22,Krystyna Patkova,Krystyna Patkova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,25,RW/C,"5'6""",153 Lbs,23,Right,2 Way Forward,B6F,1RW,70,77,76,77,79,78,71,75,79,85,78,84,81,79,79,78,79,79,74,73,75,78,79,85,50,82
NHL 22,Lenka Serdar,Lenka Serdar,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,7,LW/C,"5'8""",139 Lbs,24,Left,2 Way Forward,T9F,4LW,71,79,75,79,79,81,65,75,79,84,79,80,81,80,82,83,82,76,76,75,74,78,80,85,50,81
NHL 22,VENDULA PRIBYLOVA,Vendula Pribylova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,26,LW/C,"5'7""",172 Lbs,25,Left,2 Way Forward,T6F,SLW,75,85,85,82,82,77,77,81,81,85,79,81,84,85,86,86,86,82,78,80,78,84,84,85,50,85
NHL 22,MAGDALENA ERBENOVA,Magdalena Erbenova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,3,LD,"5'6""",166 Lbs,21,Left,Defensive Defenseman,7D,2LD,70,76,79,79,78,80,50,79,81,91,73,80,78,80,76,86,79,70,73,74,75,78,76,84,50,80
NHL 22,DENISA KRIZOVA,Denisa Krizova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,10,LW/C,"5'8""",150 Lbs,26,Left,2 Way Forward,T6F,4RW,75,83,84,83,82,78,70,81,81,84,79,84,85,86,81,84,88,82,78,78,75,84,83,85,50,82
NHL 22,SAMANTHA AHN KOLOWRATOVA,Samantha Ahn Kolowratova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,5,RD,"5'7""",157 Lbs,25,Right,Defensive Defenseman,T6D,1RD,72,78,79,80,82,79,50,81,82,85,77,83,82,81,83,88,80,75,77,74,74,81,85,87,50,82
NHL 22,DOMINIKA LASKOVA,Dominika Laskova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,14,RD,"5'6""",157 Lbs,24,Right,2 Way Defender,T4D,2RD,80,86,86,85,85,85,55,83,82,80,86,85,89,85,80,88,84,86,86,84,78,87,83,85,50,85
NHL 22,DANIELA PEJSOVA,Daniela Pejsova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,4,LD,"5'6""",161 Lbs,19,Left,2 Way Defender,T4D,3LD,74,86,84,82,85,78,55,81,82,92,84,85,83,82,82,88,82,82,77,80,77,80,83,86,50,82
NHL 22,PAVLINA HORALKOVA,Pavlina Horalkova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,17,RD,"5'6""",134 Lbs,30,Right,2 Way Defender,T6D,3RD,73,80,84,83,80,78,55,79,84,87,81,82,85,82,83,82,83,77,75,80,75,80,82,83,50,81
NHL 22,KLARA SEROISZKOVA,Klara Seroiszkova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,8,LD,"5'8""",169 Lbs,20,Left,Defensive Defenseman,7D,1LD,86,76,78,78,77,79,55,76,80,84,74,79,78,80,78,82,78,70,74,74,76,79,77,85,50,82
NHL 22,TEREZA MAZANCOVA,Tereza Mazancova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,13,LW/C,"5'6""",141 Lbs,18,Left,2 Way Forward,T9F,4C,71,79,78,77,81,77,73,76,79,86,81,77,84,86,79,82,81,78,73,76,73,85,82,84,50,81
NHL 22,SARA CAJANOVA,Sara Cajanova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,24,LD,"5'6""",139 Lbs,18,Left,2 Way Defender,T4D,SD,75,81,81,80,81,83,55,83,83,88,78,85,87,86,83,87,81,77,75,77,74,82,81,88,50,77
NHL 22,ANETA TEJRALOVA,Aneta Tejralova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,2,LD,"5'6""",130 Lbs,25,Left,2 Way Defender,T4D,SD,73,85,83,81,84,80,55,80,82,93,81,86,82,81,79,88,80,80,75,79,75,81,81,85,50,81
NHL 22,TEREZA RADOVA,Tereza Radova,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Czech,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/czech.png,27,LD,"5'6""",161 Lbs,19,Left,2 Way Defender,7D,SD,69,76,77,72,78,78,55,77,76,84,77,79,82,81,86,78,77,80,78,74,77,79,80,86,50,84
NHL 22,JOSEFINE JAKOBSEN,Josefine Jakobsen,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,63,C,"5'9""",169 Lbs,30,Left,Sniper,B6F,3C,64,78,76,75,79,78,78,74,69,70,76,77,78,76,78,90,70,78,73,72,67,76,77,61,50,68
NHL 22,JOSEFINE PERSSON,Josefine Persson,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,8,LW/RW,"5'8""",152 Lbs,37,Right,Sniper,B6F,4LW,63,79,76,74,77,74,60,68,70,88,76,75,72,71,75,88,78,75,72,78,72,70,72,60,50,76
NHL 22,MILLE SØRENSEN,Mille Sørensen,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,12,LW/C,"5'6""",132 Lbs,19,Left,2 Way Forward,B6F,3LW,52,69,72,69,64,71,60,62,65,87,68,79,69,68,73,64,67,64,62,68,50,68,70,62,50,61
NHL 22,SILKE GLUD,Silke Glud,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,4,LW/C,"5'9""",141 Lbs,26,Left,2 Way Forward,B6F,1LW,51,69,68,72,66,69,63,65,61,88,71,75,63,66,67,85,64,67,62,64,56,62,68,69,50,62
NHL 22,MICHELE BRIX,Michele Brix,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,13,C/LW,"5'7""",165 Lbs,25,Left,2 Way Forward,B6F,1C,51,67,72,71,60,75,66,62,61,77,71,70,69,69,70,77,60,61,59,57,59,67,71,65,50,57
NHL 22,SOFIA SKRIVER,Sofia Skriver,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,17,C,"5'5""",132 Lbs,18,Left,2 Way Forward,B6F,2C,51,68,75,69,66,74,60,54,60,83,69,72,68,72,71,60,58,60,58,64,58,69,70,67,50,57
NHL 22,MARIA PETERS,Maria Peters,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,18,LW,"5'6""",132 Lbs,21,Left,2 Way Forward,B6F,2LW,50,66,74,69,67,69,65,57,63,83,68,65,71,72,77,56,57,59,56,63,59,68,72,63,50,58
NHL 22,LILLI FRIIS-HANSEN,Lilli Friis-Hansen,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,27,RW/C,"5'5""",121 Lbs,21,Right,2 Way Forward,B6F,2RW,50,64,72,70,66,73,62,59,63,75,68,68,67,70,67,73,58,65,62,64,58,68,69,63,50,56
NHL 22,JULIE OKSBJERG,Julie Oksbjerg,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,23,RW,"5'10""",148 Lbs,20,Left,2 Way Forward,B6F,1RW,51,63,75,70,72,74,60,61,57,83,71,72,71,70,69,60,64,66,59,57,54,69,72,63,50,51
NHL 22,EMMA RUSSELL,Emma Russell,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,68,RW/LW,"5'6""",165 Lbs,28,Right,2 Way Forward,B6F,3RW,49,64,70,68,70,70,60,62,54,86,71,72,71,72,68,50,59,67,60,56,56,69,73,62,50,53
NHL 22,KRISTINE MELBERG,Kristine Melberg,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,2,LD,"5'7""",152 Lbs,20,Left,Defensive Defenseman,7D,2RD,52,62,74,65,62,74,50,69,63,75,59,64,72,72,69,79,62,60,59,60,55,68,75,62,50,60
NHL 22,NICOLINE JENSEN,Nicoline Jensen,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,14,RW/C,"5'6""",143 Lbs,28,Left,2 Way Forward,B6F,4RW,49,67,69,68,62,70,70,56,59,83,69,70,68,67,74,89,68,65,59,58,56,73,69,63,50,56
NHL 22,AMANDA REFSGAARD,Amanda Refsgaard,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,15,LD,"5'8""",139 Lbs,21,Left,Defensive Defenseman,7D,1RD,52,65,75,65,61,75,50,67,61,88,59,67,72,71,69,55,60,61,59,60,59,70,73,59,50,63
NHL 22,JOSEPHINE ASPERUP,Josephine Asperup,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,19,LD,"5'5""",141 Lbs,29,Left,2 Way Defender,7D,SD,52,60,73,67,62,75,55,69,60,75,59,64,62,70,69,91,61,60,56,65,58,65,76,60,50,62
NHL 22,MICHELLE WEIS,Michelle Weis,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,21,C,"5'7""",130 Lbs,24,Left,2 Way Forward,B6F,4C,52,69,73,69,63,76,65,64,55,87,71,72,63,78,73,86,63,66,58,59,56,64,75,64,50,53
NHL 22,SOFIE SKOTT,Sofie Skott,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,22,LD,"5'6""",127 Lbs,19,Left,Defensive Defenseman,7D,SD,52,69,75,65,61,72,50,69,60,85,64,68,75,74,69,53,64,62,60,63,59,74,72,59,50,64
NHL 22,LINN PLOUG,Linn Ploug,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,77,LD,"5'8""",159 Lbs,22,Left,2 Way Defender,7D,1LD,52,61,72,67,64,76,55,68,61,85,58,63,62,71,67,88,60,61,55,66,59,66,75,61,50,63
NHL 22,SIMONE JACQUET,Simone Jacquet,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,87,LD,"5'11""",159 Lbs,34,Left,Defensive Defenseman,7D,2LD,52,66,76,63,62,75,50,66,62,83,60,65,71,69,71,76,58,60,57,59,61,71,74,57,50,63
NHL 22,MALENE FRANDSEN,Malene Frandsen,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,88,LD,"5'10""",150 Lbs,25,Left,2 Way Defender,7D,3LD,52,60,74,65,65,75,50,70,63,64,60,65,63,70,67,86,62,62,57,64,57,64,74,60,50,60
NHL 22,AMALIE ANDERSEN,Amalie Andersen,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,11,LD,"5'6""",161 Lbs,21,Left,Defensive Defenseman,7D,3RD,51,63,76,66,62,73,50,68,62,83,58,65,71,71,68,88,61,62,61,62,57,69,74,62,50,61
NHL 22,JULIE ØSTERGAARD,Julie Østergaard,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,44,C,"5'7""",143 Lbs,28,Left,2 Way Forward,B6F,SC,52,63,70,74,71,74,77,57,59,83,73,75,70,71,73,79,60,66,58,57,55,68,74,64,50,54
NHL 22,MIA BAU,Mia Bau,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Denmark,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/den.png,50,LW,"5'6""",143 Lbs,26,Left,2 Way Forward,B6F,SLW,49,59,66,73,66,74,60,60,53,84,72,67,69,72,68,59,55,60,53,54,58,68,70,66,50,56
NHL 22,Julia Liikala,Julia Liikala,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Finland,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/fin.png,27,RW,"5'6""",159 Lbs,20,Left,2 Way Forward,T9F,2RW,74,78,82,81,78,85,76,77,80,88,81,86,80,82,81,81,84,75,74,75,74,83,81,86,50,78
NHL 22,Michelle Karvinen,Michelle Karvinen,252,https://assets.leaguestat.com/pwhl/240x240/252.jpg,Finland,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/fin.png,83,RW/LW,"5'6""",143 Lbs,31,Left,Power Forward,ELITE,3RW,91,94,92,94,92,93,78,86,84,94,94,94,92,91,92,93,92,85,80,90,81,92,90,86,50,91
